name,description,price,stock,categoryId,locationId
Product_1,Description_1,121,00,81,3,1
Product_2,Description_2,387,00,84,4,2
Product_3,Description_3,194,00,48,1,2
Product_4,Description_4,461,00,43,3,1
Product_5,Description_5,436,00,14,2,2
Product_6,Description_6,400,00,93,4,1
Product_7,Description_7,477,00,96,4,2
Product_8,Description_8,496,00,87,3,1
Product_9,Description_9,374,00,16,1,2
Product_10,Description_10,82,00,37,4,1
Product_11,Description_11,131,00,11,3,1
Product_12,Description_12,116,00,13,1,2
Product_13,Description_13,311,00,51,3,1
Product_14,Description_14,429,00,11,1,2
Product_15,Description_15,121,00,54,2,2
Product_16,Description_16,383,00,84,1,2
Product_17,Description_17,469,00,8,1,1
Product_18,Description_18,455,00,22,2,2
Product_19,Description_19,284,00,32,1,2
Product_20,Description_20,452,00,58,2,2
Product_21,Description_21,369,00,84,2,1
Product_22,Description_22,161,00,64,4,2
Product_23,Description_23,189,00,18,2,2
Product_24,Description_24,247,00,86,4,1
Product_25,Description_25,279,00,45,4,2
Product_26,Description_26,298,00,42,3,1
Product_27,Description_27,127,00,22,1,2
Product_28,Description_28,406,00,9,1,2
Product_29,Description_29,183,00,61,4,2
Product_30,Description_30,311,00,58,1,1
Product_31,Description_31,172,00,38,2,1
Product_32,Description_32,427,00,24,2,1
Product_33,Description_33,352,00,27,3,2
Product_34,Description_34,280,00,93,3,2
Product_35,Description_35,423,00,87,2,2
Product_36,Description_36,27,00,99,3,2
Product_37,Description_37,288,00,67,2,1
Product_38,Description_38,497,00,57,3,2
Product_39,Description_39,95,00,95,1,1
Product_40,Description_40,263,00,89,1,1
Product_41,Description_41,295,00,22,3,1
Product_42,Description_42,117,00,12,1,1
Product_43,Description_43,203,00,62,4,2
Product_44,Description_44,450,00,24,3,2
Product_45,Description_45,172,00,31,3,2
Product_46,Description_46,132,00,70,3,2
Product_47,Description_47,139,00,58,3,2
Product_48,Description_48,477,00,50,3,2
Product_49,Description_49,273,00,95,1,2
Product_50,Description_50,335,00,84,4,2
Product_51,Description_51,407,00,79,2,1
Product_52,Description_52,165,00,41,2,2
Product_53,Description_53,196,00,19,4,1
Product_54,Description_54,296,00,65,1,1
Product_55,Description_55,88,00,95,3,1
Product_56,Description_56,119,00,34,1,2
Product_57,Description_57,43,00,98,4,1
Product_58,Description_58,130,00,69,2,1
Product_59,Description_59,166,00,70,3,1
Product_60,Description_60,36,00,77,2,2
Product_61,Description_61,465,00,93,1,1
Product_62,Description_62,486,00,79,1,2
Product_63,Description_63,321,00,44,2,1
Product_64,Description_64,411,00,85,4,1
Product_65,Description_65,136,00,90,1,1
Product_66,Description_66,330,00,2,4,2
Product_67,Description_67,158,00,3,2,1
Product_68,Description_68,61,00,30,2,2
Product_69,Description_69,241,00,82,1,1
Product_70,Description_70,496,00,64,2,2
Product_71,Description_71,147,00,69,4,2
Product_72,Description_72,451,00,1,3,1
Product_73,Description_73,78,00,6,2,1
Product_74,Description_74,28,00,17,2,2
Product_75,Description_75,441,00,10,4,2
Product_76,Description_76,48,00,92,4,2
Product_77,Description_77,366,00,82,2,2
Product_78,Description_78,35,00,97,4,1
Product_79,Description_79,267,00,82,2,2
Product_80,Description_80,77,00,61,1,1
Product_81,Description_81,391,00,16,1,1
Product_82,Description_82,432,00,54,2,2
Product_83,Description_83,197,00,39,1,2
Product_84,Description_84,323,00,13,3,1
Product_85,Description_85,377,00,84,4,1
Product_86,Description_86,167,00,40,4,2
Product_87,Description_87,115,00,39,2,1
Product_88,Description_88,498,00,9,2,1
Product_89,Description_89,243,00,49,3,2
Product_90,Description_90,27,00,53,1,1
Product_91,Description_91,378,00,45,3,2
Product_92,Description_92,363,00,2,1,1
Product_93,Description_93,214,00,80,1,2
Product_94,Description_94,363,00,21,1,1
Product_95,Description_95,388,00,85,4,1
Product_96,Description_96,248,00,87,2,2
Product_97,Description_97,132,00,3,1,2
Product_98,Description_98,292,00,65,2,2
Product_99,Description_99,461,00,35,2,2
Product_100,Description_100,398,00,49,2,1
Product_101,Description_101,351,00,25,2,2
Product_102,Description_102,61,00,29,2,2
Product_103,Description_103,41,00,20,3,1
Product_104,Description_104,318,00,53,2,1
Product_105,Description_105,202,00,8,2,1
Product_106,Description_106,170,00,30,3,2
Product_107,Description_107,138,00,75,2,2
Product_108,Description_108,157,00,52,1,1
Product_109,Description_109,340,00,17,3,2
Product_110,Description_110,170,00,67,3,2
Product_111,Description_111,177,00,96,4,1
Product_112,Description_112,68,00,56,2,1
Product_113,Description_113,64,00,1,4,1
Product_114,Description_114,83,00,35,4,1
Product_115,Description_115,142,00,28,3,2
Product_116,Description_116,51,00,76,3,1
Product_117,Description_117,154,00,87,1,1
Product_118,Description_118,494,00,52,2,2
Product_119,Description_119,129,00,31,3,2
Product_120,Description_120,39,00,29,3,1
Product_121,Description_121,157,00,73,2,2
Product_122,Description_122,87,00,2,1,2
Product_123,Description_123,299,00,26,1,1
Product_124,Description_124,79,00,64,2,2
Product_125,Description_125,151,00,23,3,2
Product_126,Description_126,23,00,4,2,1
Product_127,Description_127,351,00,73,3,2
Product_128,Description_128,186,00,26,2,2
Product_129,Description_129,23,00,53,1,2
Product_130,Description_130,342,00,79,3,1
Product_131,Description_131,473,00,7,1,1
Product_132,Description_132,140,00,40,2,1
Product_133,Description_133,226,00,85,4,2
Product_134,Description_134,238,00,59,1,1
Product_135,Description_135,242,00,12,3,1
Product_136,Description_136,159,00,86,2,1
Product_137,Description_137,167,00,45,2,2
Product_138,Description_138,338,00,72,1,2
Product_139,Description_139,316,00,44,2,2
Product_140,Description_140,315,00,95,2,1
Product_141,Description_141,261,00,31,4,2
Product_142,Description_142,491,00,74,1,2
Product_143,Description_143,57,00,90,2,1
Product_144,Description_144,230,00,59,4,1
Product_145,Description_145,343,00,23,2,2
